s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_REAC_FUEL,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-7.1365057E-004, 2.1410183E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1343647E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9075825E-001
 9.2182621E-002, 0.0000000E+000,-1.4051840E-005,-2.2709208E-002, 0.0000000E+000, 1.5225660E-002, 1.8509472E-001, 0.0000000E+000, 0.0000000E+000, 1.7759713E-001, 0.0000000E+000, 6.6590517E-003, 0.0000000E+000,-5.9075825E-001
 1.8436524E-001, 9.9566201E+001,-6.5461992E-005,-3.8289597E-002,-1.6573975E-005, 2.3444057E-002, 2.0378993E+001, 0.0000000E+000, 2.6103563E-001, 1.1993027E+002, 0.0000000E+000, 1.3318103E-002, 0.0000000E+000,-4.2082974E-001
 2.7654785E-001, 2.1760332E+002,-8.0941158E+000,-7.2739610E-002,-2.5561429E-001, 5.0405851E-002, 6.2451834E+001, 0.0000000E+000, 1.3978308E+002, 2.7168309E+002, 0.0000000E+000, 1.9977155E-002, 0.0000000E+000, 2.4731921E+001
 3.6873049E-001, 3.4565402E+002,-3.8353371E+001,-1.0285705E-001,-1.0370444E+000, 7.3098545E-002, 1.0349326E+002, 0.0000000E+000, 2.9284947E+002, 4.0972711E+002, 0.0000000E+000, 2.6636207E-002, 0.0000000E+000, 7.7175982E+001
 4.5089167E-001, 4.7019777E+002,-1.6140697E+002,-1.3174392E-001,-2.4342852E+000, 9.5395753E-002, 1.2146187E+002, 0.0000000E+000, 4.2620535E+002, 4.2778204E+002, 0.0000000E+000, 3.2571449E-002, 0.0000000E+000, 1.4476418E+002
 5.3305286E-001, 5.8783353E+002,-4.1177643E+002,-1.5223296E-001,-3.5081482E+000, 1.0913579E-001, 9.5487167E+001, 0.0000000E+000, 4.2690065E+002, 2.6799302E+002, 0.0000000E+000, 3.8651452E-002, 0.0000000E+000, 2.1221734E+002
 5.9019935E-001, 7.2043550E+002,-4.0955118E+002,-1.5969867E-001,-3.5400779E+000, 1.1220351E-001, 9.6135051E+001, 0.0000000E+000, 2.4282862E+002, 4.0343180E+002, 0.0000000E+000, 4.2704788E-002, 0.0000000E+000, 2.3940093E+002
 6.3551563E-001, 8.0635059E+002,-5.2765991E+002,-1.7494707E-001,-3.9520694E+000, 1.2328526E-001, 1.1530120E+002, 0.0000000E+000, 4.2863764E+002, 3.8998816E+002, 0.0000000E+000, 4.6034314E-002, 0.0000000E+000, 2.7663060E+002
 6.8083191E-001, 8.7297582E+002,-5.2231319E+002,-1.8466009E-001,-4.1166343E+000, 1.2947123E-001, 1.2274731E+002, 0.0000000E+000, 3.8387907E+002, 4.6923812E+002, 0.0000000E+000, 4.9219078E-002, 0.0000000E+000, 3.1011143E+002
 7.1819758E-001, 9.5679860E+002,-5.5343036E+002,-1.9341136E-001,-4.2460656E+000, 1.3523503E-001, 1.4599769E+002, 0.0000000E+000, 4.8278744E+002, 5.4506169E+002, 0.0000000E+000, 5.1969556E-002, 0.0000000E+000, 3.4452458E+002
 7.5163412E-001, 1.0348559E+003,-6.1353611E+002,-1.9611427E-001,-4.4786829E+000, 1.3506034E-001, 1.5884216E+002, 0.0000000E+000, 5.5462344E+002, 5.7562222E+002, 0.0000000E+000, 5.4430510E-002, 0.0000000E+000, 3.7969291E+002
 7.8507060E-001, 1.0925336E+003,-5.9281050E+002,-2.0523738E-001,-4.5863138E+000, 1.4174019E-001, 1.7643349E+002, 0.0000000E+000, 5.7866300E+002, 6.7150682E+002, 0.0000000E+000, 5.6891464E-002, 0.0000000E+000, 4.1630600E+002
 8.1131589E-001, 1.1576933E+003,-6.0523160E+002,-2.1490531E-001,-4.7561185E+000, 1.4911990E-001, 2.0021816E+002, 0.0000000E+000, 6.8578216E+002, 7.4785798E+002, 0.0000000E+000, 5.8773370E-002, 0.0000000E+000, 4.5014904E+002
 8.3756125E-001, 1.1066978E+003,-6.0998208E+002,-2.1819306E-001,-4.9830362E+000, 1.5058898E-001, 1.9973585E+002, 0.0000000E+000, 7.5717973E+002, 6.9140091E+002, 0.0000000E+000, 6.0655276E-002, 0.0000000E+000, 4.8737791E+002
 8.6085021E-001, 8.9027516E+002,-3.2629129E+002,-2.3302781E-001,-5.0733278E+000, 1.6315703E-001, 2.0248006E+002, 0.0000000E+000, 6.8112156E+002, 7.6132073E+002, 0.0000000E+000, 6.2247658E-002, 0.0000000E+000, 5.1723760E+002
 8.8138610E-001, 8.9092615E+002,-3.1334339E+002,-2.3520244E-001,-5.2084569E+000, 1.6444182E-001, 2.1773582E+002, 0.0000000E+000, 7.7355276E+002, 7.9003936E+002, 0.0000000E+000, 6.3840039E-002, 0.0000000E+000, 5.4711723E+002
 9.0192199E-001, 1.0113383E+003,-3.9759795E+002,-2.4150946E-001,-5.3429007E+000, 1.6942596E-001, 2.2687350E+002, 0.0000000E+000, 7.9246673E+002, 8.3519889E+002, 0.0000000E+000, 6.5287659E-002, 0.0000000E+000, 5.7772180E+002
 9.2245787E-001, 1.0406515E+003,-3.6724895E+002,-2.4865097E-001,-5.4936177E+000, 1.7441654E-001, 2.4426197E+002, 0.0000000E+000, 8.4105320E+002, 9.1209671E+002, 0.0000000E+000, 6.6735279E-002, 0.0000000E+000, 6.1007430E+002
 9.4299376E-001, 1.0781887E+003,-4.1490277E+002,-2.5715153E-001,-5.6778684E+000, 1.8153771E-001, 2.5390226E+002, 0.0000000E+000, 9.2249674E+002, 9.1143476E+002, 0.0000000E+000, 6.8182899E-002, 0.0000000E+000, 6.4553943E+002
 9.5936096E-001, 1.1744231E+003,-4.6490391E+002,-2.6523962E-001,-5.8322185E+000, 1.8795515E-001, 2.6120558E+002, 0.0000000E+000, 9.0940964E+002, 9.6481531E+002, 0.0000000E+000, 6.9485757E-002, 0.0000000E+000, 6.7347701E+002
 9.7572815E-001, 1.2990997E+003,-4.9072005E+002,-2.7153642E-001,-6.0027986E+000, 1.9374379E-001, 2.8762770E+002, 0.0000000E+000, 9.7273075E+002, 1.0899268E+003, 0.0000000E+000, 7.0643853E-002, 0.0000000E+000, 7.0332843E+002
 9.9209535E-001, 1.3571909E+003,-5.4164447E+002,-2.8442249E-001,-6.1897839E+000, 2.0351222E-001, 3.0714265E+002, 0.0000000E+000, 1.1070832E+003, 1.1164183E+003, 0.0000000E+000, 7.1801949E-002, 0.0000000E+000, 7.3709519E+002
 1.0000000E+000, 1.4300159E+003,-5.2320348E+002,-2.8511520E-001,-6.2991095E+000, 2.0471906E-001, 3.2457989E+002, 0.0000000E+000, 1.1175526E+003, 1.2250128E+003, 0.0000000E+000, 7.2380997E-002, 0.0000000E+000, 7.5358617E+002
